# secid: 1760529501
# longitude: 65.3
# latitude: 53
# ld_alpha: 0.630069[rad] = 36.1003deg
#height observed simulated
0 738 0.0965348
1 728.2 0.0959939
2 721.3 0.0962354
3 721.2 0.0968146
4 724.4 0.0966747
5 713.9 0.09708
6 689.3 0.0975026
7 673.2 0.097223
8 660.9 0.0971332
9 650.8 0.0969056
10 642.2 0.0959595
11 632.7 0.0947887
12 619.7 0.0926947
13 604.4 0.0893522
14 586.5 0.0858015
15 564.5 0.0816345
16 539.6 0.0769399
17 512.5 0.0716675
18 482 0.0660024
19 448.1 0.0600423
20 412.6 0.0546217
21 373.6 0.0492163
22 336.2 0.0439551
23 300.9 0.0385926
24 268.3 0.034722
25 238.5 0.0302073
26 210.9 0.0268016
27 186.4 0.0237236
28 165.2 0.0211895
29 146.2 0.0177914
30 129.5 0.0153289
31 115.1 0.0134108
32 102.9 0.0117028
33 92.4 0.00980971
34 83.6 0.00876874
35 75.5 0.00761935
36 68.9 0.00681222
37 63 0.00567045
38 57.7 0.00494605
39 53.1 0.00420301
40 49.2 0.00356788
41 45.8 0.00333508
42 43 0.00292808
43 40.4 0.00249989
44 38 0.00214177
45 36.3 0.00193599
46 34.4 0.00171012
47 32.9 0.00171289
48 31.7 0.00135424
49 30.5 0.00114313
50 29.6 0.00101062
51 28.8 0.000895441
52 28.1 0.000771815
53 27.3 0.000707384
54 26.6 0.00072181
55 26.2 0.000495884
56 25.7 0.000485053
57 25.4 0.000416577
58 25 0.000376688
59 24.8 0.000308385
60 24.3 0.000284792
61 24.2 0.000245664
62 24 0.000185415
63 23.6 0.000178156
64 23.4 0.000163708
65 23.3 0.000133134
66 23.1 0.000126569
67 23 0.000109414
68 22.7 0.000100278
69 22.8 6.86467e-05
70 22.6 4.21575e-05
71 22.5 7.39637e-05
72 22.4 5.2262e-05
73 22.5 3.30221e-05
74 22.2 3.56872e-05
75 22.1 2.56649e-05
76 22.3 2.81401e-05
77 22.1 4.25131e-05
78 22.4 8.51552e-06
79 22.2 1.46414e-05
80 22 1.50384e-05
81 22.2 1.63227e-05
82 22.2 1.93242e-05
83 22 4.89101e-06
84 21.9 6.60711e-06
85 22 7.3564e-06
86 21.9 1.20599e-06
87 21.9 1.206e-06
88 22 1.20602e-06
89 21.9 1.20604e-06
90 21.8 1.20605e-06
91 21.9 2.47565e-06
92 21.8 1.20607e-06
93 22 2.41216e-06
94 21.8 0
95 21.8 0
96 21.9 0
97 21.7 0
98 21.8 2.48925e-06
99 21.8 0
100 21.9 0
