#z N_msis p_msis T_msis z N_o p_o T_o z N_n p_n T_n
0 2.705e+19 1011.65 270.882 0 2.70377e+19 1011.66 271.007 0 2.70377e+19 0 0
1 2.40342e+19 891.194 268.571 1 2.40233e+19 891.152 268.68 1 2.40233e+19 889.958 268.32
2 2.14576e+19 783.924 264.612 2 2.14479e+19 783.872 264.714 2 2.14479e+19 782.79 264.349
3 1.92022e+19 688.056 259.531 3 1.91935e+19 688.016 259.634 3 1.91935e+19 687.03 259.261
4 1.71859e+19 602.271 253.826 4 1.71781e+19 602.259 253.936 4 1.71781e+19 601.356 253.555
5 1.53536e+19 525.575 247.937 5 1.53466e+19 525.595 248.059 5 1.53466e+19 524.77 247.67
6 1.36699e+19 457.183 242.238 6 1.36637e+19 457.237 242.376 6 1.36637e+19 456.485 241.977
7 1.2114e+19 396.445 237.035 7 1.21085e+19 396.528 237.192 7 1.21085e+19 395.847 236.785
8 1.06746e+19 342.782 232.587 8 1.06697e+19 342.888 232.764 8 1.06697e+19 342.277 232.35
9 9.34652e+18 295.655 229.114 9 9.34229e+18 295.777 229.313 9 9.34229e+18 295.235 228.892
10 8.12796e+18 254.54 226.825 10 8.12428e+18 254.671 227.045 10 8.12428e+18 254.195 226.621
11 7.02121e+18 218.916 225.83 11 7.01803e+18 219.047 226.068 11 7.01803e+18 218.634 225.642
12 6.03642e+18 188.23 225.853 12 6.03369e+18 188.35 226.1 12 6.03369e+18 187.996 225.674
13 5.17608e+18 161.894 226.541 13 5.17373e+18 162 226.792 13 5.17373e+18 161.697 226.367
14 4.43487e+18 139.331 227.553 14 4.43286e+18 139.42 227.802 14 4.43286e+18 139.162 227.38
15 3.80303e+18 119.999 228.541 15 3.80131e+18 120.072 228.784 15 3.80131e+18 119.852 228.364
16 3.26761e+18 103.411 229.221 16 3.26613e+18 103.471 229.457 16 3.26613e+18 103.282 229.038
17 2.81234e+18 89.1508 229.601 17 2.81107e+18 89.2002 229.833 17 2.81107e+18 89.0381 229.415
18 2.42328e+18 76.8737 229.768 18 2.42218e+18 76.9151 229.997 18 2.42218e+18 76.7757 229.579
19 2.08941e+18 66.2945 229.811 19 2.08846e+18 66.3297 230.037 19 2.08846e+18 66.2095 229.62
20 1.80193e+18 57.1745 229.817 20 1.80111e+18 57.2047 230.042 20 1.80111e+18 57.1011 229.626
21 1.55381e+18 49.3121 229.864 21 1.55311e+18 49.338 230.09 21 1.55311e+18 49.2487 229.673
22 1.33956e+18 42.5351 229.986 22 1.33896e+18 42.5574 230.211 22 1.33896e+18 42.4805 229.795
23 1.15456e+18 36.6951 230.202 23 1.15404e+18 36.7143 230.426 23 1.15404e+18 36.6481 230.011
24 9.94823e+17 31.6639 230.534 24 9.94372e+17 31.6803 230.758 24 9.94372e+17 31.6234 230.344
25 8.56933e+17 27.3308 231.006 25 8.56544e+17 27.3448 231.229 25 8.56544e+17 27.2959 230.815
26 7.37936e+17 23.6 231.638 26 7.37601e+17 23.6119 231.86 26 7.37601e+17 23.5699 231.448
