# secid: 1761208085
# longitude: 62.7
# latitude: 43
# ld_alpha: 0.809277[rad] = 46.3681deg
#height observed simulated
0 534.9 0.151395
1 537 0.151541
2 538.9 0.151735
3 541.1 0.151588
4 542.4 0.152036
5 543.9 0.151297
6 545.6 0.151267
7 546.1 0.150917
8 546.3 0.151025
9 548 0.149533
10 547.3 0.148796
11 546.7 0.145703
12 545.6 0.142842
13 540.2 0.138398
14 532 0.132935
15 520.2 0.126602
16 503.2 0.119853
17 480 0.110181
18 453.8 0.102194
19 425.5 0.093383
20 395.9 0.0848968
21 366.6 0.0763084
22 336.8 0.0671607
23 306.1 0.0596917
24 276.6 0.0526171
25 247.7 0.04619
26 220.8 0.0404653
27 197.1 0.0354424
28 175.6 0.0310581
29 157.4 0.0268452
30 140.3 0.0235928
31 124.7 0.0204658
32 112.1 0.0179334
33 100.6 0.0157504
34 90.7 0.0139384
35 82.2 0.0116353
36 74.9 0.0103909
37 68.2 0.00912672
38 62.2 0.00773761
39 57.2 0.00673874
40 52.8 0.00591089
41 49.1 0.00534241
42 45.8 0.00467739
43 43.1 0.00420638
44 40.5 0.0035285
45 38.4 0.00347173
46 36.3 0.00284316
47 34.8 0.00257343
48 33.3 0.00224574
49 32.2 0.00207828
50 30.9 0.00171595
51 29.9 0.00152462
52 28.9 0.00139595
53 28.2 0.00114646
54 27.5 0.00104735
55 26.9 0.000997307
56 26.3 0.00100648
57 25.8 0.000851398
58 25.3 0.000606092
59 25 0.000645255
60 24.7 0.00048315
61 24.4 0.000463816
62 24.1 0.000368686
63 23.7 0.000343872
64 23.6 0.000346415
65 23.4 0.000236737
66 23.1 0.000270477
67 23 0.000180263
68 22.8 0.00018685
69 22.7 0.000122766
70 22.6 0.000111781
71 22.5 9.68822e-05
72 22.4 0.000112836
73 22.3 8.39016e-05
74 22.3 7.87991e-05
75 22.2 5.95594e-05
76 22.2 3.92987e-05
77 22.1 2.5757e-05
78 22 5.30424e-05
79 21.9 4.92576e-05
80 22.1 2.00346e-05
81 21.8 2.44013e-05
82 21.8 2.36562e-05
83 21.8 1.44714e-05
84 21.9 2.69066e-05
85 21.7 8.70641e-06
86 21.8 3.49653e-06
87 21.8 3.49651e-06
88 21.8 1.32539e-05
89 21.8 1.74823e-06
90 21.7 4.85176e-06
91 21.8 1.74821e-06
92 21.6 0
93 21.7 1.74819e-06
94 21.6 0
95 21.7 3.33058e-06
96 21.6 1.74815e-06
97 21.5 1.74814e-06
98 21.6 0
99 21.6 0
100 21.7 0
